source,page,figure_refs,structure_count_raw,structure_max_allowed,structure_dedup_removed,structure_removed,structure_caption_injected
data_structure_data_ch1_to_ch5.pdf,1,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,2,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,3,1,1,3,0,0,1
data_structure_data_ch1_to_ch5.pdf,4,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,5,1,1,3,0,0,1
data_structure_data_ch1_to_ch5.pdf,6,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,7,2,2,5,0,0,0
data_structure_data_ch1_to_ch5.pdf,8,2,1,5,0,0,0
data_structure_data_ch1_to_ch5.pdf,9,2,1,5,0,0,0
data_structure_data_ch1_to_ch5.pdf,10,2,2,5,0,0,0
data_structure_data_ch1_to_ch5.pdf,11,2,1,5,0,0,0
data_structure_data_ch1_to_ch5.pdf,12,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,13,1,1,3,0,0,0
data_structure_data_ch1_to_ch5.pdf,14,2,2,5,0,0,2
data_structure_data_ch1_to_ch5.pdf,15,2,2,5,0,0,0
data_structure_data_ch1_to_ch5.pdf,16,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,17,3,2,7,0,0,2
data_structure_data_ch1_to_ch5.pdf,18,3,1,7,0,0,0
data_structure_data_ch1_to_ch5.pdf,19,3,1,7,0,0,0
data_structure_data_ch1_to_ch5.pdf,20,3,1,7,0,0,1
data_structure_data_ch1_to_ch5.pdf,21,1,1,3,0,0,1
data_structure_data_ch1_to_ch5.pdf,22,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,23,5,2,11,0,0,0
data_structure_data_ch1_to_ch5.pdf,24,4,3,9,0,0,0
data_structure_data_ch1_to_ch5.pdf,25,4,4,9,0,0,0
data_structure_data_ch1_to_ch5.pdf,26,3,4,7,0,0,0
data_structure_data_ch1_to_ch5.pdf,27,4,3,9,0,0,0
data_structure_data_ch1_to_ch5.pdf,28,1,3,3,0,0,0
data_structure_data_ch1_to_ch5.pdf,29,1,1,3,0,0,0
data_structure_data_ch1_to_ch5.pdf,30,4,2,9,0,0,0
data_structure_data_ch1_to_ch5.pdf,31,7,3,12,0,0,0
data_structure_data_ch1_to_ch5.pdf,32,1,3,3,0,0,0
data_structure_data_ch1_to_ch5.pdf,33,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,34,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,35,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,36,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,37,7,1,12,0,0,0
data_structure_data_ch1_to_ch5.pdf,38,4,2,9,0,0,0
data_structure_data_ch1_to_ch5.pdf,39,2,1,5,0,0,0
data_structure_data_ch1_to_ch5.pdf,40,2,2,5,0,0,0
data_structure_data_ch1_to_ch5.pdf,41,2,1,5,0,0,0
data_structure_data_ch1_to_ch5.pdf,42,4,2,9,0,0,0
data_structure_data_ch1_to_ch5.pdf,43,6,4,12,0,0,0
data_structure_data_ch1_to_ch5.pdf,44,4,1,9,0,0,0
data_structure_data_ch1_to_ch5.pdf,45,2,1,5,0,0,0
data_structure_data_ch1_to_ch5.pdf,46,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,47,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,48,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,49,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,50,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,51,1,2,3,0,0,0
data_structure_data_ch1_to_ch5.pdf,52,3,2,7,0,0,0
data_structure_data_ch1_to_ch5.pdf,53,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,54,1,2,3,0,0,0
data_structure_data_ch1_to_ch5.pdf,55,2,1,5,0,0,0
data_structure_data_ch1_to_ch5.pdf,56,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,57,3,2,7,0,0,0
data_structure_data_ch1_to_ch5.pdf,58,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,59,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,60,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,61,3,1,7,0,0,0
data_structure_data_ch1_to_ch5.pdf,62,1,1,3,0,0,0
data_structure_data_ch1_to_ch5.pdf,63,5,2,11,0,0,0
data_structure_data_ch1_to_ch5.pdf,64,4,3,9,0,0,3
data_structure_data_ch1_to_ch5.pdf,65,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,66,0,0,0,0,0,0
data_structure_data_ch1_to_ch5.pdf,67,0,0,0,0,0,0
